steering_percentage,fr_pressure,chassis_drive_mode,pitch,timestamp,engine_rpm,position_y,brake_percentage,yaw_rate,real_axe_pressure,roll,imu_forward_acceleration,rr_pressure,control_cmd_brake,position_z,speed_FL,position_x,cmd_drive_mode,drive_motor_torque_nm,chassis_acc,speed_RL,test_id,steering_target,front_axe_pressure,speed_RR,imu_vel_forward,throttle,acc_cmd,yaw,heading,driving_mode,rl_pressure,gear_location_num,vehicle_speed,imu_sideshift_acceleration,throttle_percentage,speed_FR,speed_cmd,fl_pressure
-0.4,0,11,-0.5,1663225858.71611,927,36.3721848838829,0,-0.01,1112,0,-0.02,0,0,0.490724271067889,15.38674956,0.721722653841286,0,12,0,15.45190164,0,0,1112,15.414982128,14.32,0,0,-0.2,0.53,4,0,11,15.38,0.07,11.6,15.32159748,0,0
-0.4,0,11,-0.5,1663225858.73623,926,36.6798205964462,0,-0.01,1112,0,0.15,0,0,0.495688350691331,15.369375672,0.732039601607397,0,12,0,15.45190164,0,0,1112,15.399779976,14.32,0,0,-0.2,0.53,4,0,11,15.38,0.16,11.6,15.315082272,0,0
-0.4,0,11,-0.5,1663225858.75633,927,36.9875345683815,0,-0.01,1112,0,0.21,0,0,0.500589058913731,15.358516992,0.742404055108267,0,12,0,15.438871224,0,0,1112,15.380234352,14.32,0,0,-0.2,0.53,4,0,11,15.38,0.22,11.6,15.3107388,0,0
-0.4,0,11,-0.5,1663225858.77644,927,37.4492352905036,0,-0.01,1112,0,0.11,0,0,0.507895737972142,15.347658312,0.758112790907287,0,12,-0.1,15.404123448,0,0,1112,15.393264768,14.33,0,0,-0.2,0.53,4,0,11,15.38,-0.04,11.6,15.312910536,0,0
-0.4,0,11,-0.5,1663225858.79655,926,37.7571547911739,0,-0.01,1112,0,0.09,0,0,0.512752109165,15.341143104,0.768485057768377,0,12,-0.1,15.391093032,0,0,1112,15.406295184,14.33,0,0,-0.2,0.53,4,0,11,15.33,0.06,11.6,15.323769216,0,0
-0.4,0,11,-0.5,1663225858.81662,925,38.0651037068067,0,-0.01,1112,0,-0.07,0,0,0.517676403953882,15.334627896,0.778885909419847,0,12,-0.1,15.399779976,0,0,1112,15.406295184,14.33,0,0,-0.2,0.53,4,0,11,15.33,0.22,11.6,15.323769216,0,0
-0.3,0,11,-0.5,1663225858.83672,926,38.2190497109331,0,-0.01,1112,0,0.02,0,0,0.520196649388538,15.334627896,0.784012263304062,0,12,-0.1,15.399779976,0,0,1112,15.406295184,14.32,0,0,-0.2,0.53,4,0,11,15.33,0.25,11.6,15.323769216,0,0
-0.3,0,11,-0.5,1663225858.85683,926,38.5269214268331,0,-0.01,1112,0,0.01,0,0,0.52525872600385,15.362860464,0.794477532983796,0,12,-0.1,15.421497336,0,0,1112,15.40846692,14.32,0,0,-0.3,0.53,4,0,11,15.33,0.22,11.6,15.319425744,0,0
-0.3,0,11,-0.5,1663225858.8769,926,38.8347666539102,0,-0.02,1112,0,-0.06,0,0,0.530417172137083,15.371547408,0.80497066815776,0,12,-0.1,15.43018428,0,0,1112,15.38674956,14.32,0,0,-0.3,0.53,4,0,11,15.33,0.03,11.6,15.323769216,0,0
-0.3,0,11,-0.5,1663225858.89713,927,39.1426089515726,0,-0.02,1112,0,-0.17,0,0,0.535627621153326,15.371547408,0.81545637618066,0,12,-0.1,15.4193256,0,0,1112,15.37589088,14.32,0,0,-0.3,0.53,4,0,11,15.33,-0.18,11.6,15.33245616,0,0
-0.3,0,11,-0.5,1663225858.91729,928,39.4504056649683,0,-0.01,1112,0,-0.3,0,0,0.540859773907604,15.369375672,0.825887696487685,0,12,-0.1,15.412810392,0,0,1112,15.391093032,14.32,0,0,-0.3,0.53,4,0,11,15.35,-0.19,11.6,15.3650322,0,0
-0.3,0,11,-0.5,1663225858.93748,925,39.7580843784423,0,-0.01,1112,0,-0.32,0,0,0.546152483654971,15.373719144,0.836269517408715,0,12,-0.1,15.425840808,0,0,1112,15.410638656,14.31,0,0,-0.3,0.53,4,0,11,15.35,-0.08,11.6,15.347658312,0,0
-0.3,0,11,-0.5,1663225858.95759,925,40.0656161023828,0,-0.01,1112,0,-0.25,0,0,0.551522611397905,15.382406088,0.84662708041871,0,12,-0.1,15.428012544,0,0,1112,15.412810392,14.31,0,0,-0.3,0.53,4,0,11,15.35,0.08,11.6,15.330284424,0,0
-0.3,0,11,-0.5,1663225858.97778,927,40.3730551681496,0,-0.01,1112,0,-0.11,0,0,0.55691901931554,15.37589088,0.856976105547503,0,12,0,15.432356016,0,0,1112,15.358516992,14.32,0,0,-0.3,0.53,4,0,11,15.35,0.13,11.6,15.319425744,0,0
-0.3,0,11,-0.5,1663225858.99789,926,40.6805107203362,0,-0.01,1112,0,-0.08,0,0,0.56229952018185,15.358516992,0.867325226839539,0,12,0,15.417153864,0,0,1112,15.367203936,14.32,0,0,-0.4,0.53,4,0,11,15.35,0.06,11.6,15.3107388,0,0
-0.3,0,11,-0.5,1663225859.018,927,40.9871765014684,0,-0.01,1112,0,0.02,0,0,0.567675719484809,15.347658312,0.877620571084008,0,12,0,15.39760824,0,0,1112,15.399779976,14.32,0,0,-0.4,0.53,4,0,11,15.35,-0.08,11.6,15.3107388,0,0
-0.3,0,11,-0.5,1663225859.03819,927,41.2946345497216,0,-0.01,1112,0,-0.03,0,0,0.573106114573453,15.345486576,0.887908719395793,0,12,0,15.38674956,0,0,1112,15.414982128,14.32,0,0,-0.4,0.53,4,0,11,15.35,0.04,11.6,15.33245616,0,0
-0.3,0,11,-0.5,1663225859.05838,926,41.6020083710536,0,-0.01,1112,0,-0.09,0,0,0.578609076557763,15.345486576,0.898211973062342,0,12,-0.1,15.39760824,0,0,1112,15.404123448,14.32,0,0,-0.4,0.53,4,0,11,15.35,0.35,11.6,15.325940952,0,0
-0.3,0,11,-0.5,1663225859.07857,924,41.9093512963672,0,-0.01,1112,0,0.05,0,0,0.584171702564305,15.3650322,0.908619811901596,0,12,-0.1,15.421497336,0,0,1112,15.382406088,14.32,0,0,-0.4,0.53,4,0,11,15.35,0.41,11.6,15.323769216,0,0
-0.3,0,11,-0.5,1663225859.09868,926,42.2167047112791,0,-0.01,1112,0,0.11,0,0,0.589713512922353,15.362860464,0.919137233383235,0,12,-0.1,15.4193256,0,0,1112,15.367203936,14.32,0,0,-0.4,0.53,4,0,11,15.34,0.26,11.2,15.323769216,0,0
-0.3,0,11,-0.5,1663225859.11883,925,42.5241123329713,0,-0.02,1112,0,0.11,0,0,0.595174963928734,15.35417352,0.929718403909052,0,12,-0.1,15.4193256,0,0,1112,15.380234352,14.33,0,0,-0.4,0.53,4,0,11,15.34,0.06,11.2,15.315082272,0,0
-0.3,0,11,-0.5,1663225859.13894,926,42.8315509846957,0,-0.01,1112,0,0.17,0,0,0.600558648500784,15.341143104,0.940345030133988,0,12,-0.1,15.404123448,0,0,1112,15.39760824,14.33,0,0,-0.4,0.53,4,0,11,15.34,-0.07,11.2,15.330284424,0,0
-0.3,0,11,-0.5,1663225859.15913,926,43.1390611392689,0,-0.01,1112,0,0,0,0,0.605867154076398,15.34331484,0.950991967688358,0,12,-0.1,15.404123448,0,0,1112,15.393264768,14.33,0,0,-0.5,0.53,4,0,11,15.34,0.06,11.2,15.308567064,0,0
-0.3,0,11,-0.5,1663225859.17934,926,43.4465223778443,0,0,1112,0,-0.13,0,0,0.611112143331008,15.347658312,0.961669431581302,0,12,-0.1,15.425840808,0,0,1112,15.38674956,14.32,0,0,-0.5,0.53,4,0,11,15.34,0.2,11.2,15.304223592,0,0
-0.3,0,11,-0.5,1663225859.19948,924,43.7539620049907,0,-0.01,1112,0,0.01,0,0,0.616259513183852,15.345486576,0.972406974849732,0,12,-0.1,15.4193256,0,0,1112,15.360688728,14.32,0,0,-0.5,0.53,4,0,11,15.33,0.35,11.2,15.29988012,0,0
-0.3,0,11,-0.5,1663225859.2197,925,44.0613998658954,0,-0.01,1112,0,0.1,0,0,0.621310067652417,15.352001784,0.983241900489385,0,12,-0.1,15.4193256,0,0,1112,15.3650322,14.32,0,0,-0.5,0.53,4,0,11,15.33,0.36,11.2,15.29988012,0,0
-0.3,0,11,-0.5,1663225859.23988,925,44.5226317027784,0,-0.01,1112,0,0.11,0,0,0.62867211754198,15.341143104,0.999715128171009,0,12,-0.1,15.378062616,0,0,1112,15.38674956,14.33,0,0,-0.5,0.53,4,0,11,15.33,0.07,11.2,15.297708384,0,0
-0.3,0,11,-0.5,1663225859.26007,924,44.8302233200625,0,-0.01,1112,0,0.19,0,0,0.633354896750124,15.33245616,1.01067239200381,0,12,-0.1,15.360688728,0,0,1112,15.393264768,14.33,0,0,-0.5,0.53,4,0,11,15.33,0.24,11.2,15.312910536,0,0
-0.3,0,11,-0.5,1663225859.28017,925,45.1378182671799,0,-0.01,1112,0,0.14,0,0,0.63795566613103,15.334627896,1.02173011656474,0,12,-0.1,15.373719144,0,0,1112,15.38674956,14.33,0,0,-0.5,0.53,4,0,11,15.33,0.38,11.2,15.306395328,0,0
