,engineRpm,speedMps,fuelRangeM,throttlePercentage,brakePercentage,steeringPercentage,parkingBrake,highBeamSignal,drivingMode,errorCode,gearLocation,header_timestampSec,header_moduleName,signal_turnSignal,angularVelocityVrf_z,realSteeringAngle,batterySoc,cmdDrivingMode,driveMotorTorqueNm,batteryVoltage,batteryCurrent,enableButton,disableButton,batch
0,1143,3.44025,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.0055149,had-canbus,TURN_NONE,0,0.6,100,0.0,15,556.4,0.8,False,False,0.0
1,1141,3.44025,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.015549,had-canbus,TURN_NONE,0,0.6,100,0.0,14,556.4,0.8,False,False,0.0
2,1140,3.42461252,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.0255039,had-canbus,TURN_NONE,0,0.6,100,0.0,13,556.4,0.8,False,False,0.0
3,1138,3.42461252,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.035519,had-canbus,TURN_NONE,0,0.6,100,0.0,12,556.4,0.8,False,False,0.0
4,1137,3.40897489,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.045491,had-canbus,TURN_NONE,0,0.6,100,0.0,14,556.4,0.8,False,False,0.0
5,1135,3.40897489,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.0554879,had-canbus,TURN_NONE,0,0.6,100,0.0,13,556.4,0.8,False,False,0.0
6,1134,3.40897489,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.065552,had-canbus,TURN_NONE,0,0.6,100,0.0,13,556.4,0.8,False,False,0.0
7,1132,3.40897489,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.0755658,had-canbus,TURN_NONE,0,0.6,100,0.0,12,556.4,0.8,False,False,0.0
8,1131,3.40897489,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.085486,had-canbus,TURN_NONE,0,0.6,100,0.0,15,556.4,1.9,False,False,0.0
9,1129,3.39333749,0,0,0,0.08,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.0955238,had-canbus,TURN_NONE,0,0.6,100,0.0,14,556.4,1.9,False,False,0.0
